OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
494876,10032674,M80494,-6.37596543,-37.3414305,Jardim de Piranhas
496626,10036472,M78189,-6.24737719,-37.22917754,Jardim de Piranhas
496628,10036476,M78190,-6.24772428,-37.22888787,Jardim de Piranhas
496629,10036478,M78191,-6.24810609,-37.22856923,Jardim de Piranhas
496630,10036480,M78192,-6.24848789,-37.22825059,Jardim de Piranhas
496631,10036482,M85584,-6.24886657,-37.2284976,Jardim de Piranhas
497946,10039298,M15808,-6.40476739,-37.36119494,Jardim de Piranhas
497947,10039300,M15809,-6.40470156,-37.36165163,Jardim de Piranhas
497948,10039302,M15810,-6.40462622,-37.36209154,Jardim de Piranhas
497949,10039304,M15811,-6.40455086,-37.36253385,Jardim de Piranhas
497950,10039306,M15812,-6.40448508,-37.36297379,Jardim de Piranhas
497951,10039308,M15813,-6.40502484,-37.36245857,Jardim de Piranhas
497952,10039310,M15814,-6.40538626,-37.36241886,Jardim de Piranhas
497953,10039312,L95177,-6.40570462,-37.36237665,Jardim de Piranhas
501026,10048538,M77000,-6.37651071,-37.34260799,Jardim de Piranhas
501027,10048540,M77001,-6.37626579,-37.3428982,Jardim de Piranhas
501028,10048542,M77002,-6.37603254,-37.3431746,Jardim de Piranhas
501032,10048552,M74928,-6.37468376,-37.35036293,Jardim de Piranhas
501053,10048594,M83608,-6.38164166,-37.34598708,Jardim de Piranhas
501495,10049586,M90421,-6.38258454,-37.35148845,Jardim de Piranhas
503491,10054170,M75445,-6.34884787,-37.33823732,Jardim de Piranhas
503492,10054172,M75446,-6.34827516,-37.33905036,Jardim de Piranhas
503493,10054174,M75447,-6.34770244,-37.3398634,Jardim de Piranhas
503495,10054178,M75448,-6.34712972,-37.34067644,Jardim de Piranhas
503502,10054202,M77281,-6.33510952,-37.33093939,Jardim de Piranhas
503503,10054204,M77282,-6.33577427,-37.33132526,Jardim de Piranhas
505812,10060024,U82853,-6.35989788,-37.34121802,Jardim de Piranhas
505813,10060028,L91365,-6.35918809,-37.34171436,Jardim de Piranhas
505814,10060030,M87834,-6.36086005,-37.3425833,Jardim de Piranhas
505815,10060032,M87835,-6.36106034,-37.3420772,Jardim de Piranhas
505816,10060034,M87836,-6.36120512,-37.34160778,Jardim de Piranhas
505817,10060036,M87837,-6.36135919,-37.3411661,Jardim de Piranhas
505818,10060038,M87839,-6.36229538,-37.34283399,Jardim de Piranhas
505819,10060040,M87840,-6.36249881,-37.34312283,Jardim de Piranhas
509905,10069210,M74448,-6.34906106,-37.33703434,Jardim de Piranhas
509906,10069212,M74449,-6.34919045,-37.33565549,Jardim de Piranhas
509907,10069214,M74450,-6.34939394,-37.33520183,Jardim de Piranhas
509908,10069216,M48778,-6.34961593,-37.33470692,Jardim de Piranhas
509909,10069218,M48779,-6.34938131,-37.33457072,Jardim de Piranhas
510320,10070094,M86834,-6.37511447,-37.34776128,Jardim de Piranhas
510321,10070096,M86835,-6.37527907,-37.34705705,Jardim de Piranhas
510322,10070098,M86836,-6.37535671,-37.34672576,Jardim de Piranhas
512383,10074692,M98039,-6.38122613,-37.34400912,Jardim de Piranhas
512384,10074694,M98040,-6.38156989,-37.34412176,Jardim de Piranhas
513009,10076048,M97580,-6.34516367,-37.34791671,Jardim de Piranhas
513010,10076052,M97581,-6.34489974,-37.34766943,Jardim de Piranhas
513457,10076982,M74718,-6.40172053,-37.35938479,Jardim de Piranhas
513460,10076988,M74719,-6.4018935,-37.35901655,Jardim de Piranhas
513462,10076992,M74720,-6.40204725,-37.35868922,Jardim de Piranhas
513464,10076996,M74721,-6.40206714,-37.35832816,Jardim de Piranhas
513466,10077000,M74722,-6.40208703,-37.35796709,Jardim de Piranhas
513469,10077006,M74712,-6.40142062,-37.36014045,Jardim de Piranhas
513472,10077012,M74713,-6.40129039,-37.36052521,Jardim de Piranhas
513474,10077016,M74714,-6.40109626,-37.36095997,Jardim de Piranhas
513476,10077020,M74715,-6.40090497,-37.3615051,Jardim de Piranhas
513477,10077022,M74716,-6.40078053,-37.36198009,Jardim de Piranhas
513478,10077024,M74717,-6.4007405,-37.36214787,Jardim de Piranhas
513479,10077026,M94117,-6.40060424,-37.36251777,Jardim de Piranhas
515557,10081506,M78557,-6.38261048,-37.34346174,Jardim de Piranhas
515558,10081508,M78558,-6.38254673,-37.34381768,Jardim de Piranhas
515559,10081510,M78559,-6.38248298,-37.34417362,Jardim de Piranhas
515560,10081512,M78560,-6.38241923,-37.34452956,Jardim de Piranhas
516516,10083673,M99667,-6.38023719,-37.35296871,Jardim de Piranhas
516517,10083675,M99668,-6.38005764,-37.35289551,Jardim de Piranhas
516770,10084251,M87844,-6.36247386,-37.35091927,Jardim de Piranhas
516771,10084253,M87845,-6.36198424,-37.35083166,Jardim de Piranhas
516772,10084255,M87846,-6.36160405,-37.35051108,Jardim de Piranhas
516995,10084831,M15850,-6.37138784,-37.35856174,Jardim de Piranhas
516996,10084833,M15851,-6.37119566,-37.35897088,Jardim de Piranhas
516997,10084835,M15852,-6.37100347,-37.35938001,Jardim de Piranhas
516998,10084837,M15853,-6.37081129,-37.35978915,Jardim de Piranhas
517000,10084841,M15854,-6.3706191,-37.36019828,Jardim de Piranhas
517001,10084843,M80491,-6.37046535,-37.36052559,Jardim de Piranhas
518792,10088735,R07381,-6.38417582,-37.35068409,Jardim de Piranhas
518793,10088739,R07383,-6.38495111,-37.35147332,Jardim de Piranhas
518794,10088741,R07382,-6.38505914,-37.35110332,Jardim de Piranhas
518914,10088981,PY11503,-6.37913798,-37.34081212,Jardim de Piranhas
518915,10088983,PY11504,-6.37946279,-37.34003128,Jardim de Piranhas
518919,10088995,PY11508,-6.38045307,-37.34011751,Jardim de Piranhas
518920,10088997,PY11507,-6.38026391,-37.33903095,Jardim de Piranhas
518921,10088999,PY11506,-6.37994064,-37.3389522,Jardim de Piranhas
518922,10089001,PY11505,-6.37893979,-37.3387828,Jardim de Piranhas
520056,10091475,M91953,-6.37545524,-37.34367706,Jardim de Piranhas
520057,10091477,M91954,-6.37535281,-37.34403459,Jardim de Piranhas
520837,10093181,R01755,-6.45365654,-37.32093591,Jardim de Piranhas
520840,10093187,R01756,-6.45289963,-37.32036262,Jardim de Piranhas
520847,10093201,R01757,-6.45212814,-37.31973474,Jardim de Piranhas
520849,10093205,R01758,-6.45131631,-37.3193363,Jardim de Piranhas
520850,10093207,R01759,-6.45045692,-37.31905468,Jardim de Piranhas
520851,10093209,R01760,-6.44980814,-37.3185633,Jardim de Piranhas
520852,10093213,R01761,-6.44915645,-37.31801272,Jardim de Piranhas
520853,10093215,R01762,-6.44863832,-37.31756468,Jardim de Piranhas
523364,10099452,R10372,-6.37930683,-37.34334023,Jardim de Piranhas
523365,10099454,R49305,-6.37460181,-37.34261303,Jardim de Piranhas
523417,10099584,R09240,-6.31595812,-37.28946039,Jardim de Piranhas
524890,10102766,M78556,-6.37606476,-37.34384487,Jardim de Piranhas
525313,10103714,M15325,-6.3820281,-37.38165462,Jardim de Piranhas
525314,10103716,M15326,-6.38269401,-37.38193287,Jardim de Piranhas
525315,10103718,M15327,-6.38360934,-37.38232169,Jardim de Piranhas
525316,10103720,M15328,-6.38466449,-37.3818339,Jardim de Piranhas
525317,10103722,M15329,-6.38533127,-37.38222027,Jardim de Piranhas
525318,10103724,M15330,-6.38630628,-37.38268929,Jardim de Piranhas
525319,10103726,M15331,-6.38680169,-37.38338106,Jardim de Piranhas
525320,10103728,M15332,-6.38702201,-37.38274544,Jardim de Piranhas
525321,10103730,M15333,-6.38728777,-37.38227894,Jardim de Piranhas
525322,10103732,M15334,-6.38757134,-37.38192838,Jardim de Piranhas
525323,10103734,PY15053,-6.38791239,-37.38175906,Jardim de Piranhas
525324,10103736,M15335,-6.3876553,-37.38410563,Jardim de Piranhas
525325,10103738,M15336,-6.38824193,-37.38451228,Jardim de Piranhas
525326,10103740,M15337,-6.38972423,-37.38541082,Jardim de Piranhas
525327,10103742,M15338,-6.39054587,-37.38596315,Jardim de Piranhas
525328,10103744,M15339,-6.39201393,-37.3863785,Jardim de Piranhas
525329,10103746,M15340,-6.39270183,-37.38683002,Jardim de Piranhas
525330,10103748,M15341,-6.39415088,-37.38719749,Jardim de Piranhas
525331,10103750,M15342,-6.39475084,-37.38761274,Jardim de Piranhas
525332,10103752,M80495,-6.39519359,-37.38770329,Jardim de Piranhas
525333,10103754,M80496,-6.39563265,-37.38779775,Jardim de Piranhas
525334,10103756,M80497,-6.39582104,-37.38821158,Jardim de Piranhas
525335,10103758,M80498,-6.39603569,-37.38795316,Jardim de Piranhas
525336,10103760,M80499,-6.39717111,-37.38828267,Jardim de Piranhas
525337,10103762,M80500,-6.39783485,-37.38837774,Jardim de Piranhas
525339,10103766,M80501,-6.39927165,-37.38840793,Jardim de Piranhas
525340,10103768,M80502,-6.4000164,-37.3885415,Jardim de Piranhas
525341,10103770,M80503,-6.40111584,-37.38829762,Jardim de Piranhas
525342,10103772,M80504,-6.40201549,-37.38746266,Jardim de Piranhas
525343,10103774,M80505,-6.40261861,-37.38639412,Jardim de Piranhas
525345,10103778,M80506,-6.40275635,-37.38592276,Jardim de Piranhas
525346,10103780,M80507,-6.40296224,-37.38547716,Jardim de Piranhas
525347,10103782,M80508,-6.40315658,-37.38509688,Jardim de Piranhas
525348,10103784,M80509,-6.40335666,-37.38469673,Jardim de Piranhas
525530,10104158,M51260,-6.42122774,-37.35714163,Jardim de Piranhas
525531,10104160,M51261,-6.42104052,-37.35769309,Jardim de Piranhas
525532,10104162,M51262,-6.42068364,-37.35835948,Jardim de Piranhas
525533,10104164,M51263,-6.42041677,-37.35886121,Jardim de Piranhas
525534,10104166,M51264,-6.42016232,-37.35935053,Jardim de Piranhas
526047,10105235,M86853,-6.38076001,-37.34357385,Jardim de Piranhas
526260,10105703,M67260,-6.40641861,-37.35426934,Jardim de Piranhas
526261,10105705,M67261,-6.40601164,-37.35426827,Jardim de Piranhas
