OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
119853,312442,AC32850,-6.08184853,-36.64816363,Santana do Matos
119856,312445,AB28313,-6.08169809,-36.64535299,Santana do Matos
119857,312446,AB28245,-6.08166228,-36.64503665,Santana do Matos
119858,312447,AB28177,-6.08158219,-36.64391599,Santana do Matos
119859,312448,AB28030,-6.08192603,-36.64383506,Santana do Matos
119860,312449,AB28109,-6.08311149,-36.64344788,Santana do Matos
119861,312450,AA93710,-6.08422446,-36.64316002,Santana do Matos
119862,312451,AB27964,-6.08125283,-36.6393791,Santana do Matos
119863,312452,PY03339,-6.08136805,-36.64091382,Santana do Matos
119864,312453,AB27896,-6.08101343,-36.63570995,Santana do Matos
119865,312454,AA93642,-6.08109278,-36.63701126,Santana do Matos
119866,312455,AA9369X,-6.08536443,-36.6429987,Santana do Matos
119867,312456,PY03338,-6.08616051,-36.64295446,Santana do Matos
119868,312457,AA93684,-6.08144863,-36.64210846,Santana do Matos
119869,312458,PY03328,-6.08109159,-36.63803242,Santana do Matos
119870,312459,AA99136,-6.10784295,-36.6583797,Santana do Matos
119871,312460,AA29708,-6.09958613,-36.65673394,Santana do Matos
119872,312461,AA29713,-6.09851791,-36.65741043,Santana do Matos
119873,312462,AA29692,-6.10048235,-36.65616569,Santana do Matos
119874,312463,AA29687,-6.10146007,-36.65552523,Santana do Matos
119875,312464,AA29650,-6.10425738,-36.65373021,Santana do Matos
119876,312465,AA29666,-6.10342454,-36.65425336,Santana do Matos
119877,312466,AA29645,-6.10490017,-36.65328816,Santana do Matos
119878,312467,PY01067,-6.10517142,-36.6533879,Santana do Matos
119879,312468,AA29624,-6.10557783,-36.65393062,Santana do Matos
119880,312469,AA29619,-6.10603853,-36.65445534,Santana do Matos
119881,312470,AA29603,-6.10687953,-36.65467325,Santana do Matos
119882,312471,AA29598,-6.10763008,-36.65488202,Santana do Matos
119883,312472,AA29582,-6.10794749,-36.65421364,Santana do Matos
119884,312474,AA29561,-6.10869048,-36.65318429,Santana do Matos
119913,312504,AB09332,-6.10736895,-36.66136142,Santana do Matos
119914,312505,AB09348,-6.1075053,-36.66081031,Santana do Matos
119915,312506,AB09327,-6.10669014,-36.66166786,Santana do Matos
119916,312507,AB09311,-6.10716936,-36.66184015,Santana do Matos
119917,312508,AA99141,-6.10774192,-36.65963576,Santana do Matos
119946,312542,AB28360,-6.08033363,-36.62861513,Santana do Matos
119947,312543,AA93595,-6.08222842,-36.63373238,Santana do Matos
119948,312544,AC33550,-6.07976543,-36.62715051,Santana do Matos
119949,312545,AC33482,-6.0791339,-36.62568581,Santana do Matos
119950,312546,AC33414,-6.0786198,-36.62436584,Santana do Matos
119951,312547,AC33346,-6.07800627,-36.6229825,Santana do Matos
119952,312548,AC33278,-6.07737485,-36.62140938,Santana do Matos
119953,312549,AC3320X,-6.0769786,-36.61985459,Santana do Matos
119954,312550,AC33131,-6.08054551,-36.64851451,Santana do Matos
119955,312551,PY03320,-6.07723348,-36.6495769,Santana do Matos
119956,312552,AA93621,-6.08093222,-36.63507537,Santana do Matos
119957,312553,AA93616,-6.080897,-36.63424575,Santana do Matos
119958,312554,PY03317,-6.08156643,-36.63397515,Santana do Matos
119959,312555,AA9358X,-6.08286084,-36.63347087,Santana do Matos
119960,312556,AA93574,-6.08409149,-36.63311986,Santana do Matos
119961,312557,AA93569,-6.08551223,-36.63265159,Santana do Matos
119963,312559,AC35060,-6.10242875,-36.65487573,Santana do Matos
119964,312561,AD21327,-6.07862699,-36.61805814,Santana do Matos
119965,312562,PY08991,-6.07818277,-36.61891613,Santana do Matos
119966,312563,AD21311,-6.07903492,-36.61729047,Santana do Matos
119967,312564,AD21306,-6.07947909,-36.61646861,Santana do Matos
119968,312565,AD21290,-6.08009547,-36.61535778,Santana do Matos
120090,312690,AB1303X,-6.08377981,-36.6958714,Santana do Matos
120091,312691,AB13045,-6.08352604,-36.69625062,Santana do Matos
120092,312692,AB13019,-6.08435075,-36.69504074,Santana do Matos
120093,312693,AB09196,-6.06993873,-36.69673927,Santana do Matos
120094,312694,AB09238,-6.07025587,-36.69631496,Santana do Matos
120174,312781,AC31417,-6.08072082,-36.69706937,Santana do Matos
120175,312782,AB09133,-6.08010577,-36.69702339,Santana do Matos
120177,312784,AA96596,-6.08237598,-36.69723415,Santana do Matos
120178,312785,AB09180,-6.07226333,-36.69685972,Santana do Matos
120179,312786,AB09175,-6.07381916,-36.69688883,Santana do Matos
120180,312787,AB0916X,-6.07561925,-36.69690017,Santana do Matos
120181,312788,AB09154,-6.07637905,-36.69692825,Santana do Matos
120182,312789,AB09149,-6.07838715,-36.69696697,Santana do Matos
120183,312790,AB05097,-6.09319025,-36.70067304,Santana do Matos
120184,312791,AB05081,-6.092322,-36.70056347,Santana do Matos
