OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
302618,875975,DB6219X,-6.17675396,-37.73784425,Almino Afonso
302619,875976,DB62163,-6.17647797,-37.73928891,Almino Afonso
302620,875977,DB62158,-6.17635814,-37.73998419,Almino Afonso
302621,875978,DB62006,-6.17520494,-37.74146212,Almino Afonso
302622,875979,L15112,-6.17492622,-37.74177643,Almino Afonso
302623,875980,DB61987,-6.17461557,-37.7421739,Almino Afonso
302624,875981,DB61971,-6.17424206,-37.74280514,Almino Afonso
302625,875982,L15109,-6.17330228,-37.74363552,Almino Afonso
302626,875983,L15106,-6.17261399,-37.74294437,Almino Afonso
302627,875984,DB61835,-6.16754558,-37.73608863,Almino Afonso
302628,875985,DB6182X,-6.16645309,-37.73558817,Almino Afonso
302629,875986,DB61809,-6.16434189,-37.73692745,Almino Afonso
302630,875987,DB61814,-6.16357643,-37.7387409,Almino Afonso
302631,875988,DB61793,-6.16521614,-37.73502401,Almino Afonso
302632,875989,DB61788,-6.16413256,-37.73456876,Almino Afonso
302633,875990,DB61772,-6.16322787,-37.73471037,Almino Afonso
302634,875991,DB61767,-6.16298364,-37.73473668,Almino Afonso
302635,875992,DB61751,-6.16267606,-37.73478085,Almino Afonso
302636,875993,DB61746,-6.16192507,-37.734932,Almino Afonso
302637,875994,U70227,-6.1734933,-37.71555942,Almino Afonso
302685,876045,DB04379,-6.13571587,-37.70829576,Almino Afonso
302686,876046,DB04384,-6.13477486,-37.70848248,Almino Afonso
302687,876047,DB04363,-6.13667507,-37.70807296,Almino Afonso
302688,876048,DB04358,-6.13633483,-37.70701487,Almino Afonso
302689,876049,DB04342,-6.13584232,-37.7055046,Almino Afonso
302690,876050,DB04337,-6.13557364,-37.70469066,Almino Afonso
302691,876051,DB04321,-6.13521585,-37.70346088,Almino Afonso
302692,876052,DB04316,-6.13489306,-37.7026016,Almino Afonso
302693,876053,DB04300,-6.13463396,-37.70161605,Almino Afonso
302694,876054,DB04206,-6.13425723,-37.70065723,Almino Afonso
302695,876055,DB04976,-6.17172288,-37.71665048,Almino Afonso
302696,876056,DB0483X,-6.15489689,-37.72729318,Almino Afonso
302697,876057,DB04824,-6.15292514,-37.72745847,Almino Afonso
302698,876058,DB04819,-6.15177628,-37.72760834,Almino Afonso
302699,876059,DB04803,-6.14979532,-37.7278278,Almino Afonso
302700,876060,DB04735,-6.14812166,-37.7280844,Almino Afonso
302701,876061,DB04782,-6.15118726,-37.73079557,Almino Afonso
302702,876062,N18126,-6.15192851,-37.7308612,Almino Afonso
302703,876063,DB04777,-6.14993092,-37.73062888,Almino Afonso
302704,876065,DB04740,-6.14857875,-37.72934164,Almino Afonso
302705,876066,DB04761,-6.14913106,-37.73130924,Almino Afonso
302706,876067,DB0472X,-6.14694568,-37.72823418,Almino Afonso
302707,876068,DB04714,-6.14579683,-37.72838406,Almino Afonso
302708,876069,DB04709,-6.14383397,-37.72859455,Almino Afonso
302709,876070,DB04693,-6.14328208,-37.72869214,Almino Afonso
302717,876078,DB05194,-6.1763867,-37.70886842,Almino Afonso
302718,876079,DB05189,-6.17629346,-37.7097445,Almino Afonso
302719,876080,DB05173,-6.17627273,-37.71056661,Almino Afonso
302720,876081,DB05168,-6.17618844,-37.71146983,Almino Afonso
302721,876082,DB05147,-6.17597308,-37.71376399,Almino Afonso
302746,876107,DB4941X,-6.14884051,-37.7461643,Almino Afonso
302747,876108,DB49535,-6.14371184,-37.73001252,Almino Afonso
302748,876109,DB4952X,-6.14393517,-37.73085343,Almino Afonso
302749,876110,DB49514,-6.14446372,-37.73238192,Almino Afonso
302750,876111,DB49509,-6.14498312,-37.73393749,Almino Afonso
302751,876112,DB49493,-6.14531393,-37.73509494,Almino Afonso
302752,876113,DB49488,-6.14600878,-37.73726992,Almino Afonso
302753,876114,DB4972,-6.14645104,-37.73855874,Almino Afonso
302754,876115,DB49467,-6.14681744,-37.73988796,Almino Afonso
302755,876116,DB49451,-6.14736451,-37.74127197,Almino Afonso
302756,876117,DB49446,-6.14778481,-37.74270978,Almino Afonso
302757,876118,DB49430,-6.14817818,-37.74408427,Almino Afonso
302758,876119,DB49425,-6.14852717,-37.74520565,Almino Afonso
302977,876343,DB04253,-6.13971965,-37.69755772,Almino Afonso
302978,876344,DB04248,-6.13862357,-37.69816858,Almino Afonso
302979,876345,DB04232,-6.13761804,-37.69874359,Almino Afonso
302980,876346,DB04227,-6.13643132,-37.69942643,Almino Afonso
302981,876347,DB04211,-6.1351269,-37.70015407,Almino Afonso
302982,876348,DB04190,-6.13344981,-37.69864005,Almino Afonso
302983,876349,DB04185,-6.13293858,-37.69731944,Almino Afonso
302984,876350,DB0417X,-6.13244514,-37.69608923,Almino Afonso
302995,876361,DP02848,-6.14725288,-37.70012026,Almino Afonso
303553,876932,DB36285,-6.11668797,-37.69201941,Almino Afonso
303554,876933,DB36238,-6.11624558,-37.6918012,Almino Afonso
303555,876934,DB36259,-6.11418819,-37.69043965,Almino Afonso
303556,876935,DB36264,-6.11292515,-37.68951423,Almino Afonso
303557,876936,DB36243,-6.1158575,-37.6915651,Almino Afonso
303558,876937,DB3627X,-6.11733195,-37.69139809,Almino Afonso
303559,876938,DB36222,-6.11825714,-37.69048857,Almino Afonso
304404,877922,DB61877,-6.17024846,-37.73632329,Almino Afonso
304405,877923,DB62032,-6.1786329,-37.74117518,Almino Afonso
304406,877924,DB62048,-6.17903224,-37.74072475,Almino Afonso
304407,877925,DB62053,-6.17940421,-37.7403465,Almino Afonso
304408,877926,DB62095,-6.17951463,-37.74252424,Almino Afonso
304409,877927,DB62100,-6.17994773,-37.74280574,Almino Afonso
304410,877928,DB62142,-6.17925673,-37.74395993,Almino Afonso
304411,877929,DB62116,-6.18051623,-37.74315996,Almino Afonso
304412,877930,DB62121,-6.18108506,-37.7434148,Almino Afonso
304413,877931,DB62137,-6.17867483,-37.74493378,Almino Afonso
304414,877932,DB05084,-6.17348149,-37.71529189,Almino Afonso
304415,877933,DB0509X,-6.17342811,-37.71502068,Almino Afonso
304416,877934,DB05131,-6.17613511,-37.71399038,Almino Afonso
304417,877935,DB05152,-6.1755671,-37.71347357,Almino Afonso
304431,877949,DB04981,-6.17163403,-37.71616232,Almino Afonso
304432,877950,DB05058,-6.17155378,-37.71580971,Almino Afonso
304433,877951,DB04997,-6.17130868,-37.71610706,Almino Afonso
304434,877952,DB05000,-6.17101848,-37.71636814,Almino Afonso
304435,877953,DB05016,-6.17074773,-37.71620464,Almino Afonso
