Latitude,Longitude
-5.64945172399996,-35.4345252449999
-5.64955530999992,-35.4345343549999
-5.64953242599995,-35.4348165619999
-5.64941041499997,-35.4348360039999
-5.64947117999997,-35.4351824219999
-5.64935976899994,-35.4352202759999
-5.64940344099994,-35.4355708659999
-5.64930766199995,-35.4356196389999
-5.64935200299993,-35.4359787949999
-5.64924691299995,-35.4360720049999
-5.64929718099995,-35.4363479009999
-5.64918596099994,-35.4365275789999
-5.64924247499993,-35.4367428299999
-5.64912763999996,-35.4369809709999
-5.64920401399996,-35.4371927389999
-5.64906090699997,-35.4374757829999
-5.64915892699997,-35.4375294149999
-5.64900666199997,-35.4378808259999
-5.64909770099996,-35.4379179429999
-5.64894523299994,-35.4383405079999
-5.64902674699993,-35.4383517159999
-5.64889826099994,-35.4386922669999
-5.64898833199993,-35.4388502939999
-5.64885227799993,-35.4390365319999
-5.64893358299997,-35.4392031449999
-5.64882148399993,-35.4392321709999
-5.64854479799993,-35.4382535229999
-5.64804059599993,-35.4383226219999
